Alpha,Choices,Outcomes
0.676358596,0.791666667,0.541666667
0.098776819,0.958333333,0.708333333
0.470677411,0.895833333,0.645833333
0.373722009,0.8125,0.604166667
0.754052944,0.75,0.541666667
0.393934438,0.958333333,0.708333333
0.570096424,0.9375,0.6875
0.856778491,0.791666667,0.541666667
0.476617387,0.8125,0.604166667
0.20403085,0.791666667,0.625
0.592425571,0.8125,0.604166667
0.49198798,0.9375,0.6875
0.056526026,0.5625,0.604166667
0.956708438,0.833333333,0.583333333
0.086069779,0.729166667,0.6875
0.830448373,0.875,0.625
0.910587598,0.708333333,0.5
0.471142926,0.916666667,0.666666667
0.412375149,0.875,0.625
0.330617943,0.833333333,0.666666667
0.854877127,0.8125,0.604166667
0.840349117,0.645833333,0.479166667
0.367103087,0.666666667,0.5
0.763541167,0.729166667,0.520833333
0.426553735,0.791666667,0.583333333
0.740238813,0.8125,0.645833333
0.047115127,0.645833333,0.479166667
0.636045436,0.75,0.583333333
0.226004189,0.916666667,0.666666667
0.992165591,0.770833333,0.5625
0.133454504,0.645833333,0.5625
0.369806719,0.625,0.5
0.333883301,0.8125,0.645833333
0.208313566,0.729166667,0.729166667
0.3263964,0.604166667,0.479166667
0.134696855,0.895833333,0.645833333
0.615583857,0.9375,0.6875
0.592506455,0.791666667,0.583333333
0.409966485,0.791666667,0.583333333
0.835380673,0.791666667,0.541666667
0.71478592,0.708333333,0.541666667
0.176792349,0.875,0.625
0.31653816,0.958333333,0.708333333
0.065039041,0.520833333,0.520833333
0.721694384,0.854166667,0.604166667
0.186071261,0.791666667,0.541666667
0.61591949,0.75,0.583333333
0.294922361,0.791666667,0.625
0.576686155,0.895833333,0.645833333
0.972303154,0.645833333,0.479166667
0.204775084,0.708333333,0.541666667
0.738431431,0.833333333,0.583333333
0.502662889,0.916666667,0.666666667
0.001393474,0.4375,0.4375
0.167310093,0.708333333,0.625
0.255384235,0.9375,0.6875
0.021581957,0.520833333,0.4375
0.904116742,0.541666667,0.375
0.512383808,0.770833333,0.5625
0.4214217,0.791666667,0.583333333
0.221300571,0.6875,0.604166667
0.9305775,0.8125,0.604166667
0.03903312,0.5,0.541666667
0.021498607,0.416666667,0.5
0.209234045,0.791666667,0.583333333
0.167150923,0.729166667,0.604166667
0.063331918,0.541666667,0.583333333
0.115349012,0.75,0.666666667
0.425487466,0.9375,0.6875
0.237386573,0.854166667,0.645833333
0.248946155,0.895833333,0.6875
0.347733637,0.75,0.583333333
0.736482435,0.791666667,0.666666667
0.341559333,0.791666667,0.541666667
0.105799852,0.75,0.625
0.209784264,0.9375,0.6875
0.937206815,0.666666667,0.5
0.339268931,0.770833333,0.5625
0.955238163,0.645833333,0.479166667
0.85582849,0.791666667,0.541666667
0.439945299,0.895833333,0.645833333
0.842524498,0.8125,0.604166667
0.179109764,0.75,0.625
0.815052992,0.833333333,0.625
0.300324452,0.6875,0.479166667
0.349899234,0.708333333,0.541666667
0.295343088,0.666666667,0.5
