ID,group,agent,choice1,choice0,miss,out1,out0,RT,choiceP,trialno
101,1,1,1,2,0,1,2,964.8,33.33333333,1
101,1,1,3,0,0,2,1,1116.233333,100,2
101,1,1,1,2,0,2,1,1573,33.33333333,3
101,1,1,1,2,0,0,3,1143.166667,33.33333333,4
101,1,1,1,2,0,1,2,1162.5,33.33333333,5
101,1,1,2,1,0,0,3,1008.9,66.66666667,6
101,1,1,2,0,1,1,1,763.7,100,7
101,1,1,1,2,0,1,2,1251.233333,33.33333333,8
101,1,1,2,1,0,2,1,974.8666667,66.66666667,9
101,1,1,1,2,0,2,1,725.0333333,33.33333333,10
101,1,1,1,2,0,1,2,947.4666667,33.33333333,11
101,1,1,2,1,0,2,1,964.8666667,66.66666667,12
101,1,1,2,1,0,0,3,629.8666667,66.66666667,13
101,1,1,3,0,0,2,1,1516.766667,100,14
101,1,1,2,1,0,2,1,882.3666667,66.66666667,15
101,1,1,2,1,0,2,1,795.3333333,66.66666667,16
101,1,2,1,2,0,1,2,1192.466667,33.33333333,1
101,1,2,2,1,0,1,2,887.0333333,66.66666667,2
101,1,2,2,1,0,1,2,760.7333333,66.66666667,3
101,1,2,2,1,0,3,0,860.5333333,66.66666667,4
101,1,2,0,3,0,0,3,1052.733333,0,5
101,1,2,3,0,0,1,2,1193.833333,100,6
101,1,2,0,3,0,1,2,1082.866667,0,7
101,1,2,1,2,0,1,2,1160.366667,33.33333333,8
101,1,2,2,1,0,2,1,675.1333333,66.66666667,9
101,1,2,2,1,0,1,2,879.9,66.66666667,10
101,1,2,2,1,0,2,1,541.7666667,66.66666667,11
101,1,2,1,2,0,1,2,868.7666667,33.33333333,12
101,1,2,3,0,0,1,2,880.8,100,13
101,1,2,3,0,0,2,1,1703.9,100,14
101,1,2,2,1,0,2,1,881.0666667,66.66666667,15
101,1,2,1,1,1,1,1,1104.05,50,16
101,1,3,3,0,0,3,0,1042.066667,100,1
101,1,3,1,2,0,0,3,1231.4,33.33333333,2
101,1,3,1,2,0,0,3,1626.066667,33.33333333,3
101,1,3,1,2,0,2,1,1474.733333,33.33333333,4
101,1,3,0,3,0,0,3,1451.266667,0,5
101,1,3,3,0,0,1,2,1361,100,6
101,1,3,2,1,0,1,2,1130.166667,66.66666667,7
101,1,3,1,2,0,1,2,1565.433333,33.33333333,8
101,1,3,3,0,0,1,2,1134.966667,100,9
101,1,3,1,2,0,0,3,1896.666667,33.33333333,10
101,1,3,1,2,0,1,2,1409.633333,33.33333333,11
101,1,3,1,2,0,1,2,863.6666667,33.33333333,12
101,1,3,2,1,0,2,1,1445.566667,66.66666667,13
101,1,3,1,2,0,2,1,889.1,33.33333333,14
101,1,3,1,1,1,1,1,955.2,50,15
101,1,3,2,1,0,2,1,1013.466667,66.66666667,16
102,1,1,2,1,0,2,1,1403,66.66666667,1
102,1,1,3,0,0,2,1,765.6333333,100,2
102,1,1,2,1,0,1,2,956,66.66666667,3
102,1,1,2,1,0,1,2,1267.8,66.66666667,4
102,1,1,2,1,0,2,1,779,66.66666667,5
102,1,1,2,1,0,2,1,717.0333333,66.66666667,6
102,1,1,2,1,0,1,2,786.2,66.66666667,7
102,1,1,3,0,0,3,0,817.9666667,100,8
102,1,1,3,0,0,1,2,833.4666667,100,9
102,1,1,1,2,0,0,3,1051.133333,33.33333333,10
102,1,1,3,0,0,3,0,941,100,11
102,1,1,3,0,0,3,0,826,100,12
102,1,1,3,0,0,1,2,713.0666667,100,13
102,1,1,3,0,0,2,1,1020.2,100,14
102,1,1,2,1,0,2,1,874.1666667,66.66666667,15
102,1,1,2,1,0,2,1,1144.433333,66.66666667,16
102,1,2,0,3,0,0,3,1672.8,0,1
102,1,2,2,1,0,1,2,1787.833333,66.66666667,2
102,1,2,2,1,0,1,2,1299,66.66666667,3
102,1,2,3,0,0,2,1,929.8,100,4
102,1,2,2,1,0,2,1,704.7333333,66.66666667,5
102,1,2,3,0,0,1,2,643.3666667,100,6
102,1,2,3,0,0,2,1,681.6666667,100,7
102,1,2,3,0,0,3,0,773.6333333,100,8
102,1,2,3,0,0,1,2,611.1333333,100,9
102,1,2,3,0,0,2,1,803.4,100,10
102,1,2,3,0,0,3,0,1157.1,100,11
102,1,2,3,0,0,3,0,786.7666667,100,12
102,1,2,3,0,0,1,2,753.2333333,100,13
102,1,2,2,1,0,1,2,1248.433333,66.66666667,14
