ID,agent,choice,outcome,RT,block,group,trialno
101,3,1,1,1247.4,1,1,1
101,3,0,0,1939.8,1,1,2
101,3,1,0,2218.4,1,1,3
101,3,0,0,2623.8,1,1,4
101,3,0,0,1491.7,1,1,5
101,3,1,1,1929.1,1,1,6
101,3,1,0,944,1,1,7
101,3,0,0,2273.6,1,1,8
101,3,1,1,1749.3,1,1,9
101,3,1,0,1938.2,1,1,10
101,3,0,0,2047,1,1,11
101,3,0,0,942.2,1,1,12
101,3,1,0,2310.2,1,1,13
101,3,1,1,964.5,1,1,14
101,3,,,,1,1,15
101,3,1,1,878.9,1,1,16
101,2,0,0,1202.7,1,1,1
101,2,1,0,1118.8,1,1,2
101,2,0,0,986.7,1,1,3
101,2,1,1,1279.3,1,1,4
101,2,0,0,1609.7,1,1,5
101,2,1,0,859.7,1,1,6
101,2,0,0,2104.2,1,1,7
101,2,1,1,2353.4,1,1,8
101,2,0,1,565.8,1,1,9
101,2,0,0,580.9,1,1,10
101,2,0,0,607.2,1,1,11
101,2,0,0,777.6,1,1,12
101,2,1,0,726.2,1,1,13
101,2,1,1,759.5,1,1,14
101,2,1,1,1015.2,1,1,15
101,2,,,,1,1,16
101,1,1,1,934.1,1,1,1
101,1,1,1,918.9,1,1,2
101,1,0,0,2470.6,1,1,3
101,1,1,0,1123.4,1,1,4
101,1,0,0,1110.8,1,1,5
101,1,1,0,1009.5,1,1,6
101,1,1,1,1148.3,1,1,7
101,1,0,0,1402.6,1,1,8
101,1,0,1,907.9,1,1,9
101,1,1,1,590.9,1,1,10
101,1,1,1,809.1,1,1,11
101,1,1,1,656.7,1,1,12
101,1,0,0,478.5,1,1,13
101,1,1,0,1826.4,1,1,14
101,1,1,1,1314.9,1,1,15
101,1,1,1,519.7,1,1,16
101,3,1,1,897.5,2,1,1
101,3,1,0,609.2,2,1,2
101,3,0,0,1814,2,1,3
101,3,1,1,1100.8,2,1,4
101,3,0,0,1245.4,2,1,5
101,3,1,0,681,2,1,6
101,3,1,1,1031.3,2,1,7
101,3,0,0,945.4,2,1,8
101,3,1,0,1078.7,2,1,9
101,3,0,0,757.3,2,1,10
101,3,0,0,973.3,2,1,11
101,3,1,1,917.9,2,1,12
101,3,0,1,1105.3,2,1,13
101,3,0,0,654.9,2,1,14
101,3,1,1,1079.5,2,1,15
101,3,1,1,1221.4,2,1,16
101,1,0,0,1054.6,2,1,1
101,1,1,1,1230.4,2,1,2
101,1,0,1,1062.3,2,1,3
101,1,0,0,1018.6,2,1,4
101,1,0,0,1345.3,2,1,5
101,1,0,0,1122.1,2,1,6
101,1,1,0,379.1,2,1,7
101,1,1,1,1456,2,1,8
101,1,1,1,866.6,2,1,9
101,1,0,1,516.8,2,1,10
101,1,0,0,555.6,2,1,11
101,1,1,1,699.1,2,1,12
101,1,1,0,596.9,2,1,13
101,1,1,1,1409.6,2,1,14
